92 / 100 (7780): -16.06, -15.32, 7.97, -26.01, -2.07, 38.75, 72.70, 26.74, 6.45, 34.92
97 / 100 (7863): -26.30, -14.47, 21.91, -41.83, -4.61, 39.94, 59.62, 16.68, 3.06, 37.55
88 / 100 (7678): -14.77, -17.88, 9.74, -29.59, -3.39, 38.55, 69.62, 25.10, 8.64, 37.97
94 / 100 (7810): -16.74, -15.45, 9.85, -27.01, -4.64, 38.93, 71.03, 25.55, 7.00, 37.02
87 / 100 (7656): -40.46, 2.30, 53.26, -56.12, -23.69, 6.13, 10.99, -10.19, -2.76, 39.25
92 / 100 (7658): -57.22, 3.39, 32.74, -29.62, -16.68, 26.28, 53.82, 5.00, 9.23, 28.08
88 / 100 (7628): -24.30, -10.75, 15.39, -43.83, -14.42, 36.35, 51.59, 23.24, 2.35, 48.98
93 / 100 (7861): -24.76, -11.96, 43.82, -46.27, -7.44, 25.73, 54.45, 7.00, 1.71, 38.06
84 / 100 (7534): -46.74, 1.69, 64.01, -42.71, -9.04, 13.51, -2.51, -24.71, 3.01, 31.65
83 / 100 (7573): 4.86, -12.03, 17.96, -33.88, -7.57, 39.25, 69.48, 21.64, 0.63, 38.31
99 / 100 (7931): -31.11, -13.16, 33.26, -39.61, -3.63, 45.70, 45.35, 8.21, 10.05, 43.09
97 / 100 (7847): -40.50, -8.56, 48.62, -56.77, -8.76, 21.25, 32.35, -5.03, -1.79, 33.10
85 / 100 (7630): -39.39, 8.13, 28.93, -77.20, -27.25, 11.00, 7.68, -3.73, 6.66, 24.58
92 / 100 (7764): -79.56, -9.16, 17.69, -37.24, -21.06, 8.23, 19.74, 10.99, 11.54, 27.07
99 / 100 (8004): -27.71, -9.64, 10.48, -58.69, -9.53, 30.42, 56.54, 19.91, 6.84, 30.48
87 / 100 (7551): -61.56, -12.94, 37.38, -25.75, -16.20, 11.15, 25.95, 4.11, 21.80, 49.30
83 / 100 (7362): -57.16, 3.65, 37.31, -34.70, -21.59, 28.84, 40.33, -6.58, 12.03, 31.80
88 / 100 (7566): -68.68, 8.36, 37.17, -49.94, -20.22, 18.90, 4.70, -14.70, 10.45, 14.99
